similarity_threshold,max_centroids,persistence_decay,centroids,recon_loss,random_loss,ratio
0.6,5,1.0,1,13888.794948147439,27376.17578125,0.5073314497658911
0.6,5,0.95,1,13888.794948147439,27376.17578125,0.5073314497658911
0.6,10,1.0,1,13888.794948147439,25426.388671875,0.5462354535432046
0.6,10,0.95,1,13888.794948147439,25426.388671875,0.5462354535432046
0.6,20,1.0,1,13888.794948147439,28658.4453125,0.4846318352827584
0.6,20,0.95,1,13888.794948147439,28658.4453125,0.4846318352827584
0.7,5,1.0,1,13888.794948147439,24690.025390625,0.5625265559030622
0.7,5,0.95,1,13888.794948147439,24690.025390625,0.5625265559030622
0.7,10,1.0,1,13888.794948147439,28658.4453125,0.4846318352827584
0.7,10,0.95,1,13888.794948147439,28658.4453125,0.4846318352827584
0.7,20,1.0,1,13888.794948147439,28447.23828125,0.4882299930430066
0.7,20,0.95,1,13888.794948147439,28447.23828125,0.4882299930430066
0.8,5,1.0,1,13888.794948147439,28507.736328125,0.4871938896967105
0.8,5,0.95,1,13888.794948147439,28507.736328125,0.4871938896967105
0.8,10,1.0,1,13888.794948147439,28447.23828125,0.4882299930430066
0.8,10,0.95,1,13888.794948147439,28447.23828125,0.4882299930430066
0.8,20,1.0,1,13888.794948147439,25719.05859375,0.5400195694379949
0.8,20,0.95,1,13888.794948147439,25719.05859375,0.5400195694379949
0.9,5,1.0,1,13888.794948147439,28383.8046875,0.48932111466592615
0.9,5,0.95,1,13888.794948147439,28383.8046875,0.48932111466592615
0.9,10,1.0,1,13888.794948147439,25719.05859375,0.5400195694379949
0.9,10,0.95,1,13888.794948147439,25719.05859375,0.5400195694379949
0.9,20,1.0,1,13888.794948147439,25129.87890625,0.5526805361840874
0.9,20,0.95,1,13888.794948147439,25129.87890625,0.5526805361840874
